Expirations,,,,,,,
,,,,,,,
,,,,,,,
Resource ID,Percent,Days,Expiration Description,Expiration Date,Expiration Code,Expiration Name,Priority Status
ULRF029,89%,80,PM : 000-TPM : Descr : Trailer PM Service,4/30/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53409,81%,73,battom raill damage. Can not be prelouded,5/7/2021 1:14:00 PM,HOLD,Out of Service,Required
UL53870,77%,69,PM : 000-TPM : Descr : Trailer PM Service,5/11/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53820,77%,69,Need in terminal for inspection for safety report 21-0332 Jury 1704 or Andy 509,5/11/2021 6:01:00 PM,PRE,Preventive Maint,Key Date
UL53465,76%,68,PM : 000-TPM : Descr : Trailer PM Service,5/12/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53457,67%,60,PM : 000-TPM : Descr : Trailer PM Service,5/20/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53396,66%,59,PM : 000-DOT : Descr : Annual DOT Inspection,5/21/2021 12:00:00 AM,PRE,Preventive Maint,Required
UCIQ011,59%,53,PM : 000-TPM : Descr : Trailer PM Service,5/27/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53745,59%,53,PM : 000-DOT : Descr : Annual DOT Inspection,5/27/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53776,53%,48,PM : 000-TPM : Descr : Trailer PM Service,6/1/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53557,53%,48,PM : 000-TPM : Descr : Trailer PM Service,6/1/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF066,52%,47,PM : 000-TPM : Descr : Trailer PM Service,6/2/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53488,51%,46,PM : 000-TPM : Descr : Trailer PM Service,6/3/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UCIQ004,48%,43,PM : 000-TPM : Descr : Trailer PM Service,6/6/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53428,48%,43,PM : 000-TPM : Descr : Trailer PM Service,6/6/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53405,46%,41,PM : 000-TPM : Descr : Trailer PM Service,6/8/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53505,44%,40,PM : 000-TPM : Descr : Trailer PM Service,6/9/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53561,44%,40,PM : 000-TPM : Descr : Trailer PM Service,6/9/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53399,40%,36,PM : 000-TPM : Descr : Trailer PM Service,6/13/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53378,39%,35,PM : 000-TPM : Descr : Trailer PM Service,6/14/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53809,39%,35,PM : 000-TPM : Descr : Trailer PM Service,6/14/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53721,39%,35,PM : 000-TPM : Descr : Trailer PM Service,6/14/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53628,38%,34,battom rail damahe after accident 6/6/21,6/15/2021 9:01:00 PM,HOLD,Out of Service,Required
