Expirations,,,,,,,
,,,,,,,
,,,,,,,
Resource ID,Percent,Days,Expiration Description,Expiration Date,Expiration Code,Expiration Name,Priority Status
535730,-13%,-12,PM : 000-DOT : Descr : Annual DOT Inspection,7/31/2021 12:00:00 AM,PRE,Preventive Maint,Required
536380,-13%,-12,PM : 000-DOT : Descr : Annual DOT Inspection,7/31/2021 12:00:00 AM,PRE,Preventive Maint,Required
536042,-13%,-12,PM : 000-DOT : Descr : Annual DOT Inspection,7/31/2021 12:00:00 AM,PRE,Preventive Maint,Required
536056,-13%,-12,PM : 000-DOT : Descr : Annual DOT Inspection,7/31/2021 12:00:00 AM,PRE,Preventive Maint,Required
534632,-13%,-12,PM : 000-DOT : Descr : Annual DOT Inspection,7/31/2021 12:00:00 AM,PRE,Preventive Maint,Required
534626,-13%,-12,PM : 000-DOT : Descr : Annual DOT Inspection,7/31/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53528,-13%,-12,PM : 000-DOT : Descr : Annual DOT Inspection,7/31/2021 12:00:00 AM,PRE,Preventive Maint,Required
ULRF054,-13%,-12,PM : 000-TPM : Descr : Trailer PM Service,7/31/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF049,-14%,-13,PM : 000-RPM : Descr : Reefer PM Service,8/1/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53760,-14%,-13,PM : 000-TPM : Descr : Trailer PM Service,8/1/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53822,-14%,-13,PM : 000-TPM : Descr : Trailer PM Service,8/1/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53646,-14%,-13,PM : 000-TPM : Descr : Trailer PM Service,8/1/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53576,-14%,-13,PM : 000-TPM : Descr : Trailer PM Service,8/1/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53507,-14%,-13,PM : 000-TPM : Descr : Trailer PM Service,8/1/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53605,-16%,-14,PM : 000-TPM : Descr : Trailer PM Service,8/2/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53602,-16%,-14,PM : 000-TPM : Descr : Trailer PM Service,8/2/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53440,-16%,-14,PM : 000-TPM : Descr : Trailer PM Service,8/2/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53815,-16%,-14,PM : 000-TPM : Descr : Trailer PM Service,8/2/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53744,-16%,-14,PM : 000-TPM : Descr : Trailer PM Service,8/2/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53906,-16%,-14,PM : 000-TPM : Descr : Trailer PM Service,8/2/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53916,-16%,-14,PM : 000-TPM : Descr : Trailer PM Service,8/2/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53849,-16%,-14,PM : 000-TPM : Descr : Trailer PM Service,8/2/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53894,-16%,-14,PM : 000-TPM : Descr : Trailer PM Service,8/2/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53847,-17%,-15,PM : 000-TPM : Descr : Trailer PM Service,8/3/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF064,-17%,-15,PM : 000-TPM : Descr : Trailer PM Service,8/3/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53700,-17%,-15,PM : 000-TPM : Descr : Trailer PM Service,8/3/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53724,-17%,-15,PM : 000-TPM : Descr : Trailer PM Service,8/3/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53471,-17%,-15,PM : 000-TPM : Descr : Trailer PM Service,8/3/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53466,-17%,-15,PM : 000-TPM : Descr : Trailer PM Service,8/3/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53521,-18%,-16,PM : 000-TPM : Descr : Trailer PM Service,8/4/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53739,-18%,-16,PM : 000-TPM : Descr : Trailer PM Service,8/4/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53826,-18%,-16,PM : 000-TPM : Descr : Trailer PM Service,8/4/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF067,-18%,-16,PM : 000-TPM : Descr : Trailer PM Service,8/4/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF061,-18%,-16,PM : 000-TPM : Descr : Trailer PM Service,8/4/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53882,-18%,-16,PM : 000-TPM : Descr : Trailer PM Service,8/4/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53876,-19%,-17,PM : 000-TPM : Descr : Trailer PM Service,8/5/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53874,-19%,-17,PM : 000-TPM : Descr : Trailer PM Service,8/5/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53856,-19%,-17,PM : 000-TPM : Descr : Trailer PM Service,8/5/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53827,-19%,-17,PM : 000-TPM : Descr : Trailer PM Service,8/5/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53750,-19%,-17,PM : 000-TPM : Descr : Trailer PM Service,8/5/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53539,-19%,-17,PM : 000-TPM : Descr : Trailer PM Service,8/5/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53641,-20%,-18,PM : 000-TPM : Descr : Trailer PM Service,8/6/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53611,-20%,-18,PM : 000-TPM : Descr : Trailer PM Service,8/6/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53896,-20%,-18,PM : 000-TPM : Descr : Trailer PM Service,8/6/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53568,-21%,-19,PM : 000-DOT : Descr : Annual DOT Inspection,8/7/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53466,-21%,-19,PM : 000-DOT : Descr : Annual DOT Inspection,8/7/2021 12:00:00 AM,PRE,Preventive Maint,Required
ULRF023,-22%,-20,PM : 000-RPM : Descr : Reefer PM Service,8/8/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF026,-24%,-22,PM : 000-RPM : Descr : Reefer PM Service,8/10/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF027,-26%,-23,PM : 000-DOT : Descr : Annual DOT Inspection,8/11/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53500,-28%,-25,PM : 000-DOT : Descr : Annual DOT Inspection,8/13/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53382,-28%,-25,PM : 000-DOT : Descr : Annual DOT Inspection,8/13/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53372,-28%,-25,PM : 000-DOT : Descr : Annual DOT Inspection,8/13/2021 12:00:00 AM,PRE,Preventive Maint,Required
535758,-34%,-31,PM : 000-DOT : Descr : Annual DOT Inspection,8/19/2021 12:00:00 AM,PRE,Preventive Maint,Required
,,,,,,,
